-----------------	0	-------------------
aviat	0.0405043
mysteri	0.0379333
expert	0.0310317
disappear	0.0286166
given	0.0254296
indic	0.0252524
closer	0.0252107
baffl	0.0252081
rise	0.0251893
myriad	0.0251884
crucial	0.025168
brought	0.0250888
box	0.0250059
theori	0.0249187
black	0.0248833
conspiraci	0.0246751
base	0.0237115
data	0.0235404
spark	0.0235335
coloss	0.0235242
path	0.0235199
hint	0.0235001
hunt	0.0234746
biggest	0.0234678
satellit	0.0232912
caus	0.0224854
one	0.0208345
histori	0.0203204
also	0.0191302
could	0.0189575
turn	0.017441
possibl	0.0167213
flown	0.0144261
indian	0.0143568
investig	0.0128985
ocean	0.011454
franc	0.0109203
test	0.0107223
mh370	0.00964626
specul	0.00158053
action	0.00138424
mechan	0.00136159
fate	0.00135764
primarili	0.00135436
focus	0.00135325
plot	0.0013345
rogu	0.00132281
terror	0.00129776
failur	0.00129766
structur	0.00126966
hijack	0.00108416
serial	0.000967206
wow	0.000922869
week	0.000919017
go	0.000907866
ask	0.000907563
manufactur	0.000897632
vacat	0.000895938
take	0.000895221
answer	0.000887868
whole	0.000886046
dont	0.000882963
wasnt	0.000882522
read	0.000880224
show	0.000879658
ago	0.000876689
match	0.000873307
mission	0.00087319
ya	0.000872864
job	0.000872668
im	0.000866077
370	0.000864847
wrong	0.000864604
identifi	0.000864418
wont	0.000862065
report	0.000860711
2	0.000859857
appear	0.000859035
3	0.000858776
refer	0.00085701
internet	0.000856557
forc	0.000855375
doubt	0.000854642
make	0.000854597
funni	0.000854374
fool	0.000854249
understand	0.00085388
proven	0.000853867
hour	0.000853862
europ	0.000853786
day	0.000853484
1	0.000853175
plate	0.000852905
digit	0.000851915
european	0.000849464
offici	0.000848826
arent	0.00084854
info	0.000848418
correct	0.000848117
solv	0.000846944
-----------------	1	-------------------
august	0.039764
minist	0.0355502
belong	0.0305238
malaysian	0.0305236
quick	0.0301371
high	0.0301083
earli	0.030105
najib	0.0301024
razak	0.0301023
initi	0.0300889
cautiou	0.0300834
probabl	0.0296663
say	0.0268691
came	0.0267423
prime	0.026319
investig	0.025019
mh370	0.0232035
piec	0.0230179
announc	0.0229268
would	0.0217395
countri	0.0215686
refin	0.0214417
transport	0.0214415
meet	0.0214274
abdul	0.0214224
deputi	0.0214223
aziz	0.0214223
kaprawi	0.0214221
china	0.021248
australia	0.0185618
plane	0.0179551
french	0.0177305
debri	0.0171788
discoveri	0.0155074
malaysia	0.0152592
month	0.0140179
said	0.0134695
flaperon	0.00970458
search	0.00644358
certainti	0.00404618
made	0.00403784
29	0.00403664
today	0.00389352
claim	0.00381739
statement	0.00265367
discov	0.00264462
possibl	0.0025332
juli	0.00209656
last	0.00197257
pari	0.00171953
flight	0.00171608
confirm	0.00157261
prosecutor	0.000757963
someth	0.000749345
think	0.000743941
world	0.000732846
im	0.000729739
knew	0.000717054
thank	0.000712652
wow	0.000707715
told	0.000698713
conclus	0.000681789
duh	0.000680533
answer	0.000680261
happen	0.000678356
whole	0.000675873
stupid	0.000674938
obviou	0.000672729
land	0.000670899
dont	0.000668755
ago	0.000668492
must	0.00066263
anyon	0.000660672
tell	0.00065936
identifi	0.000658452
370	0.000657318
kid	0.00065593
god	0.0006547
2	0.000654472
person	0.000654027
report	0.000653721
fals	0.000650468
make	0.000650333
plate	0.000648971
logic	0.00064792
take	0.000647532
hour	0.000647251
1	0.000647223
proven	0.000647151
shut	0.000646327
anyway	0.000645914
doubt	0.000645811
break	0.000645391
soon	0.000644479
time	0.000644079
day	0.000644006
fell	0.000642951
solv	0.000642464
forc	0.000641965
like	0.000641902
-----------------	2	-------------------
maldiv	0.0409217
debri	0.0324256
well	0.031235
found	0.0290498
elsewher	0.0285076
excit	0.0283633
led	0.0280996
wave	0.0280011
new	0.0274921
clue	0.0274168
franc	0.0273681
air	0.0273358
item	0.0268262
link	0.0265989
howev	0.0263661
sea	0.0257862
around	0.0244881
piec	0.0222404
also	0.0212601
aircraft	0.0209865
turn	0.0208111
reunion	0.0191031
wing	0.017591
island	0.0158627
part	0.0145888
search	0.0112315
flown	0.00820436
expert	0.00582928
test	0.00492979
aviat	0.00433874
territori	0.00432047
almost	0.00431895
twometrelong	0.00431534
oversea	0.00431302
beach	0.0042894
man	0.00428568
late	0.00428238
wash	0.00423041
fli	0.00240992
differ	0.00215308
find	0.00175543
land	0.00173744
exactli	0.00165043
hope	0.00164305
lead	0.001617
oper	0.00159685
multin	0.00159446
largest	0.00159094
like	0.00115539
probabl	0.0011006
earli	0.0010861
high	0.00108539
cautiou	0.00108462
quick	0.00108412
initi	0.00108401
najib	0.00108377
razak	0.00108362
seem	0.00107817
rest	0.00107734
belong	0.00107101
malaysian	0.0010672
someth	0.00102971
current	0.00102581
bottom	0.001025
stupid	0.00101735
make	0.00101622
thank	0.0010152
famili	0.0010095
news	0.00100945
lol	0.00100583
work	0.00100534
comment	0.00100385
go	0.00100245
seriou	0.00100028
told	0.000999415
appear	0.000998247
oh	0.000996078
mayb	0.000995287
sad	0.000994583
ask	0.000993853
week	0.00099385
question	0.000992538
freak	0.000991281
pleas	0.000990352
presid	0.000989334
post	0.000988192
get	0.00098804
obama	0.000985787
islam	0.000984835
idiot	0.000984765
vacat	0.000984419
knew	0.000984392
true	0.000984366
name	0.000983917
read	0.000982123
answer	0.000981867
im	0.000981383
identifi	0.000980359
sens	0.000979948
word	0.000979914
-----------------	3	-------------------
prosecutor	0.0281578
flight	0.0268789
pari	0.0260926
island	0.0256523
flaperon	0.0251733
part	0.023354
juli	0.0228748
thursday	0.0225755
wing	0.0225034
confirm	0.0215378
malaysia	0.0213347
statement	0.0197219
discov	0.0196271
airlin	0.0194484
remot	0.0194351
began	0.0190668
illfat	0.0190619
afp	0.0190352
french	0.0180171
mh370	0.017587
month	0.0173698
reunion	0.0172897
today	0.0155962
made	0.0155914
certainti	0.0155892
29	0.0155625
claim	0.0153012
found	0.0146496
wash	0.0145584
late	0.0145389
test	0.0144757
man	0.014397
twometrelong	0.0143056
oversea	0.0143002
beach	0.0141959
almost	0.014129
territori	0.0140409
number	0.0125452
said	0.011707
possibl	0.011222
prime	0.0109062
say	0.0109019
indian	0.0108018
ocean	0.0106682
came	0.0103874
last	0.0101473
figur	0.00902931
later	0.00896617
correspond	0.00892032
conclud	0.00884704
three	0.00872541
minist	0.0082999
serial	0.0073714
one	0.00728612
investig	0.00192802
light	0.00181086
shed	0.00180541
locat	0.00175108
satellit	0.00137419
data	0.00135623
path	0.00135364
base	0.00135355
hunt	0.00135195
biggest	0.0013516
hint	0.00135129
spark	0.00135046
coloss	0.00134978
know	0.00118893
water	0.00118885
crash	0.00116771
way	0.00103502
think	0.000986965
dont	0.000974497
someth	0.000969015
thank	0.000961517
world	0.000956567
stupid	0.000942337
im	0.000941328
lol	0.000938545
comment	0.000933432
knew	0.00093196
told	0.000928808
week	0.000926194
oh	0.000924552
idiot	0.00092244
seriou	0.000922383
ask	0.000921924
go	0.000920824
post	0.0009201
happen	0.000917763
sad	0.000914071
wow	0.000908196
presid	0.00090685
manufactur	0.000905518
pleas	0.000904537
freak	0.000903115
work	0.000899632
look	0.000897416
read	0.000897039
yahoo	0.000896003
-----------------	4	-------------------
search	0.0408605
crash	0.0382064
area	0.0374669
squar	0.0330858
plane	0.0314472
continu	0.0301721
definit	0.0283117
kilometr	0.0266983
discoveri	0.0251058
said	0.0215182
locat	0.0205827
largest	0.0201312
multin	0.0200563
oper	0.0200074
lead	0.019881
shed	0.0196597
specul	0.0195823
light	0.0195707
need	0.0192915
expand	0.0192423
april	0.0190918
120000	0.0190584
boe	0.018822
ran	0.0185024
somewher	0.0185014
fuel	0.0184896
believ	0.0184579
southern	0.0182413
australia	0.0179599
ocean	0.0174456
mile	0.0172699
far	0.0172675
trace	0.0172624
777	0.0166958
23000	0.0165976
seafloor	0.0165888
60000	0.016588
flown	0.0155041
last	0.0147322
miss	0.0143424
could	0.013704
histori	0.013428
pilot	0.0131392
aircraft	0.0131336
hijack	0.013119
failur	0.0130959
fate	0.0130779
terror	0.0130445
mechan	0.0130366
plot	0.013018
rogu	0.0129931
structur	0.0128878
announc	0.0127986
primarili	0.0127352
action	0.0127261
focus	0.0127258
board	0.0114477
year	0.0114393
cours	0.0114347
rout	0.0114319
peopl	0.0114309
inexplic	0.0114173
kuala	0.0112994
lumpur	0.0112982
veer	0.0111936
beij	0.0111922
en	0.0111756
march	0.011141
239	0.0110093
8	0.0110002
test	0.0102252
investig	0.00952021
expert	0.00935389
disappear	0.00930037
flaperon	0.00892738
franc	0.00884961
later	0.00841745
correspond	0.00826798
three	0.00792106
number	0.00790294
conclud	0.00780491
caus	0.00746409
figur	0.00735472
aviat	0.00716125
serial	0.00554206
confirm	0.00547693
china	0.00503447
transport	0.00500492
meet	0.00499826
kaprawi	0.00499809
deputi	0.00499808
abdul	0.00499741
aziz	0.00499724
refin	0.00499699
countri	0.00493846
would	0.00491777
month	0.00489576
possibl	0.00440964
discov	0.00414175
statement	0.00411963
