-----------------	0	-------------------
realli	1.37009
know	1.35771
dont	1.30689
think	0.903168
plane	0.620836
want	0.567
guy	0.482233
last	0.419239
feel	0.391334
somewher	0.381144
either	0.380035
happen	0.344758
mean	0.335192
digit	0.330527
seen	0.323642
land	0.319875
govern	0.31734
peopl	0.314325
famili	0.308696
weve	0.307227
passeng	0.30426
believ	0.30202
evid	0.294826
pay	0.280716
pilot	0.279008
im	0.275058
much	0.264467
world	0.262344
care	0.262236
track	0.248241
need	0.241843
answer	0.240927
crash	0.238021
sorri	0.228905
truth	0.226864
make	0.226085
shot	0.221596
theori	0.219377
like	0.216416
would	0.216052
that	0.215223
bertha	0.21472
indian	0.211505
find	0.209988
post	0.209498
guess	0.206802
excus	0.205967
us	0.200927
radar	0.199104
went	0.198481
exist	0.19248
els	0.189859
tri	0.18915
map	0.188338
part	0.185537
say	0.18389
right	0.183712
bs	0.180692
comment	0.18003
person	0.179251
point	0.178264
hope	0.173172
cours	0.171803
clean	0.171328
trace	0.169626
gener	0.165823
told	0.164323
ocean	0.16341
everi	0.162554
underwat	0.15915
die	0.157455
noth	0.153279
mayb	0.151333
jet	0.151271
ever	0.151244
stori	0.147199
exactli	0.147083
pretti	0.145795
game	0.145626
heard	0.143709
stalk	0.143656
go	0.1432
satellit	0.141859
jump	0.140751
stupid	0.139178
creep	0.138345
sens	0.135937
without	0.134685
member	0.12922
tend	0.12899
h	0.12899
remot	0.128857
sure	0.12801
safe	0.126904
fish	0.126678
whatev	0.125302
play	0.124071
use	0.123894
likelihood	0.121949
articl	0.121873
-----------------	1	-------------------
debri	0.871642
look	0.838681
aircraft	0.826746
even	0.747929
ocean	0.6523
found	0.588092
crash	0.562105
would	0.556965
locat	0.519829
could	0.519395
plane	0.507554
float	0.503951
well	0.50003
mayb	0.48001
current	0.477121
put	0.464692
one	0.392725
fuel	0.373303
see	0.370393
havent	0.365715
cant	0.355462
flight	0.334396
impact	0.332768
left	0.327211
seat	0.316925
cushion	0.316924
say	0.312756
someon	0.311734
wash	0.306007
near	0.30343
thing	0.29652
piec	0.294677
fli	0.289843
airlin	0.273682
surfac	0.272899
still	0.272604
thought	0.27048
turn	0.263089
somewher	0.262181
long	0.25936
air	0.254788
lot	0.253727
wreckag	0.249068
1	0.249029
didnt	0.24585
may	0.239628
feet	0.228195
anywher	0.224643
sink	0.223829
world	0.219626
proof	0.218848
away	0.216568
wont	0.212895
control	0.21257
year	0.21236
ashor	0.209849
remain	0.208441
god	0.201764
sky	0.199422
make	0.195596
like	0.193699
send	0.193137
eventu	0.191474
thousand	0.189218
2	0.187332
radar	0.184597
possibl	0.184208
obvious	0.182712
quit	0.179434
contain	0.179046
entir	0.178977
good	0.178156
work	0.171924
yet	0.171383
gone	0.171157
south	0.169014
also	0.168866
hour	0.167851
along	0.16657
hundr	0.163225
bottom	0.162963
malaysian	0.16291
folk	0.162395
whoever	0.158621
day	0.158111
bottl	0.158079
australia	0.157176
field	0.155658
run	0.153852
simpli	0.152684
noth	0.152443
enough	0.152361
believ	0.152171
land	0.150862
intend	0.150289
earth	0.149702
damn	0.148344
time	0.147725
spot	0.146862
week	0.146707
-----------------	2	-------------------
someth	1.90043
come	1.07145
water	0.620287
pressur	0.605481
would	0.479381
like	0.390099
wrong	0.370131
roll	0.339106
cover	0.337488
agre	0.312927
frequenc	0.311302
news	0.309066
ye	0.29748
ever	0.296336
hope	0.294297
putin	0.293677
sure	0.283089
forehead	0.262428
keyboard	0.262428
happen	0.262301
vike	0.259406
back	0.256627
go	0.255547
surfac	0.251975
seri	0.250752
anyth	0.248609
sound	0.24627
type	0.242371
wind	0.241945
chang	0.236236
float	0.231328
time	0.228553
slow	0.226827
excit	0.226819
someon	0.213844
across	0.213209
less	0.212443
get	0.210291
bodi	0.197744
lighter	0.188281
deep	0.188006
forget	0.186851
top	0.185524
day	0.184996
broke	0.182134
hide	0.18079
engin	0.180399
issu	0.179932
fact	0.179709
facebook	0.168106
aluminum	0.157976
think	0.156497
media	0.146538
cnn	0.144691
batteri	0.140072
beyond	0.139141
big	0.137825
attach	0.134314
flight	0.133997
malaysia	0.13164
korea	0.131301
test	0.130042
hear	0.129633
carri	0.129206
air	0.12847
missil	0.122248
explor	0.121709
front	0.120603
start	0.119424
actual	0.117731
could	0.1104
stori	0.109233
compani	0.108866
royc	0.108263
trust	0.107639
size	0.107084
dens	0.106214
densiti	0.106214
regardless	0.106214
soon	0.10603
sea	0.104629
rais	0.104479
airplan	0.103447
voltag	0.102093
measur	0.10209
make	0.101859
peopl	0.100178
write	0.0997677
north	0.099377
went	0.0957977
still	0.0956115
flew	0.0952223
guy	0.0946619
releas	0.0943751
freescal	0.0930959
futtheshuckup	0.0929352
scenerio	0.0929352
die	0.0927008
fat	0.0909681
stupid	0.0909346
-----------------	3	-------------------
wast	1.60005
money	1.47875
dead	0.80404
stop	0.788973
million	0.491479
point	0.477904
funni	0.446313
wonder	0.438609
hell	0.435522
hey	0.428762
nonsens	0.415002
go	0.394225
give	0.35832
quit	0.356077
search	0.351375
call	0.310915
senseless	0.304351
taxpay	0.3016
australian	0.300585
arent	0.294376
includ	0.291805
get	0.279072
stori	0.273558
stupid	0.270969
chines	0.269987
american	0.245785
squander	0.244343
year	0.234833
three	0.221442
effort	0.207665
alreadi	0.19365
need	0.191332
spend	0.189221
lot	0.177509
still	0.169963
time	0.163536
project	0.152166
theyll	0.151437
theyr	0.133416
thing	0.133049
see	0.130879
move	0.128007
tell	0.124684
futtheshuckup	0.121843
scenerio	0.121843
end	0.118525
learn	0.117318
come	0.112064
know	0.111952
mile	0.111608
sick	0.109722
black	0.107426
hear	0.105746
consid	0.105638
suppos	0.104284
say	0.0999075
one	0.0980066
box	0.096382
explain	0.0953533
conclud	0.0933052
next	0.0872995
count	0.0872107
gone	0.0863207
employ	0.0831733
peopl	0.0817915
investig	0.0805202
start	0.0766872
credit	0.0739302
searcher	0.0737893
us	0.0727881
help	0.0725505
proclaim	0.0694712
excus	0.0689311
airplan	0.0685744
even	0.0676292
two	0.0673481
malaysian	0.0671117
length	0.0670297
bore	0.0670297
absurd	0.0670297
dish	0.0669452
work	0.0662809
think	0.0636136
abil	0.0612116
absolut	0.0563235
trillion	0.0532941
card	0.0532935
18	0.0532871
plenti	0.0522722
doesnt	0.0515553
somewher	0.0510956
crash	0.0507348
land	0.0502987
countri	0.0500934
replac	0.0488316
ufo	0.0478764
proof	0.047545
hank	0.0472753
reli	0.0465959
differ	0.0463415
-----------------	4	-------------------
squar	2.20547
mile	1.2188
52000	0.979983
kilomet	0.534607
km	0.530023
per	0.454422
32	0.424728
20000	0.41764
inch	0.351869
think	0.296074
side	0.277805
lb	0.253939
correct	0.247884
1	0.21995
im	0.212247
one	0.186439
atmospher	0.166709
16	0.157771
root	0.157771
228	0.157771
sinc	0.119274
push	0.11387
definit	0.111825
conspiraci	0.111491
pound	0.111135
sure	0.109117
pressur	0.0986552
theori	0.0922236
million	0.0853306
around	0.083491
frequenc	0.0781034
3	0.0772655
get	0.076285
effort	0.0760094
impact	0.0740194
feet	0.072017
hour	0.0717798
current	0.0685848
said	0.0680091
engin	0.0678013
11	0.0661476
take	0.0647424
imagin	0.0624669
anoth	0.0602102
togeth	0.0592766
roughli	0.0555578
three	0.0536786
sea	0.0533662
styrofoam	0.0527587
arent	0.0521065
eagl	0.0510019
cnn	0.050975
cup	0.0504711
level	0.0504368
approxim	0.0495455
smaller	0.0488005
human	0.0479607
33	0.0471714
2	0.0469459
enough	0.0469179
15	0.0458629
post	0.0457663
batteri	0.0451122
mani	0.0451045
box	0.044861
even	0.0433221
show	0.0426456
mention	0.0422134
blue	0.0418196
voltag	0.041604
measur	0.0416029
float	0.0413708
undersea	0.0404543
number	0.0403136
result	0.0393052
live	0.0383241
interview	0.0383101
destin	0.0371831
leav	0.0371831
buti	0.0371831
patrol	0.0371363
12	0.03707
joint	0.0370699
centr	0.0370699
join	0.0370502
aluminum	0.0367744
almost	0.0363799
airplan	0.0362181
expert	0.0361182
heard	0.0353313
compani	0.0350927
thing	0.0347568
friday	0.0325858
hold	0.0324999
6	0.0322741
drop	0.0320429
bodi	0.0315921
rang	0.0313638
chang	0.0311587
actual	0.0304258
-----------------	5	-------------------
search	1.65649
area	1.40266
ping	0.996324
life	0.925979
keep	0.922666
take	0.706955
time	0.636474
receiv	0.467898
fli	0.458893
detect	0.440729
idea	0.360463
use	0.355846
big	0.339602
equip	0.303876
1	0.302517
tha	0.297226
malaysia	0.293523
head	0.255656
ocean	0.254321
perth	0.24941
around	0.247886
zone	0.240273
land	0.235216
continu	0.227565
earthquak	0.224456
56	0.224456
particular	0.223457
start	0.206683
everi	0.19547
plane	0.194565
isnt	0.186656
echo	0.163441
box	0.159003
els	0.15337
hijack	0.152112
somewher	0.149884
said	0.146847
black	0.138651
call	0.1386
u	0.138378
hour	0.13648
sea	0.136045
interv	0.134303
khz	0.134303
emit	0.134302
report	0.130588
aircraft	0.130572
plan	0.12775
info	0.126807
far	0.126729
ship	0.12667
deduc	0.126541
achiev	0.126541
via	0.12654
mani	0.126412
deem	0.124895
shadow	0.124895
imposs	0.124886
get	0.124771
technolog	0.121908
33	0.120254
second	0.11749
import	0.116448
went	0.116219
confirm	0.11512
gener	0.114494
flight	0.113315
issu	0.112371
iran	0.11043
scan	0.108712
searcher	0.106947
middl	0.106514
chase	0.1024
mysteri	0.100157
earth	0.0999216
would	0.0985218
camel	0.0984838
show	0.0983356
go	0.0966946
employ	0.0950288
foil	0.0948947
miss	0.0931604
11	0.0914881
taxpay	0.0881886
heard	0.087773
stop	0.0865233
satellit	0.0859834
real	0.0850945
sever	0.0842904
ago	0.0838561
feel	0.0832717
absolut	0.0810292
trench	0.0806989
wouldnt	0.0806286
post	0.0789119
fuel	0.0782999
dont	0.0782423
militari	0.0766826
doesnt	0.0765514
demand	0.0759099
-----------------	6	-------------------
depth	1.38602
bluefin	0.933501
dive	0.840034
m	0.838032
rate	0.695453
commerci	0.516875
auv	0.51579
avail	0.511402
design	0.510505
meter	0.467717
suv	0.46576
6000	0.448176
record	0.413379
21	0.398166
4500	0.37196
mani	0.36358
descend	0.342007
us	0.325726
safeti	0.271138
navi	0.270772
max	0.257688
sensor	0.242702
typic	0.242474
oper	0.238303
reach	0.234612
name	0.221729
market	0.206934
use	0.201332
feet	0.19525
beyond	0.175377
world	0.165792
margin	0.165248
5000	0.165248
practic	0.165242
trench	0.162151
exce	0.160757
your	0.155211
fin	0.15165
place	0.150569
talk	0.150446
accord	0.14904
friday	0.148173
free	0.148134
sort	0.144526
farther	0.144526
conduct	0.144506
devic	0.144102
blue	0.142974
joke	0.142119
mechan	0.137154
news	0.135277
werent	0.133875
set	0.133706
20	0.132744
david	0.132469
system	0.125934
crush	0.125527
deeper	0.124456
abl	0.123797
work	0.123085
googl	0.122688
case	0.121693
packag	0.121341
proport	0.121341
suit	0.121341
enabl	0.121339
particular	0.121025
time	0.117588
without	0.114208
weight	0.113926
said	0.11371
blow	0.112309
issu	0.111483
leas	0.110268
requir	0.110194
stretch	0.110179
send	0.109891
submers	0.109121
surpris	0.109055
wide	0.108094
scan	0.106426
rang	0.105547
secret	0.105448
capabl	0.105067
troll	0.103669
pr	0.103325
lobbyist	0.103325
special	0.0998778
similar	0.0994592
surfac	0.0991254
sure	0.0982235
complet	0.0976356
cnn	0.0968709
manufactur	0.0962875
side	0.094938
situat	0.0934911
craft	0.0932608
mere	0.0918779
base	0.091135
level	0.08858
-----------------	7	-------------------
love	1.71618
one	0.882045
xenu	0.686347
plane	0.519717
wouldnt	0.446524
closur	0.429174
want	0.394799
constel	0.388805
everyon	0.365459
must	0.333753
found	0.329242
differ	0.325552
hybrid	0.283448
two	0.281935
confus	0.273628
say	0.267727
know	0.220154
took	0.158117
type	0.132462
relat	0.127579
cruis	0.121019
planet	0.121019
home	0.120596
tom	0.11756
possibl	0.10071
aircraft	0.0999812
question	0.0988135
issu	0.0842825
miss	0.0783509
million	0.0773776
harbor	0.0743287
pearl	0.0743287
mid	0.0705421
reflect	0.0705421
incid	0.0705405
result	0.0700057
john	0.0685256
made	0.0682967
number	0.0679213
direct	0.0678245
normal	0.0671406
continu	0.0665714
concern	0.0645135
structur	0.0643673
invest	0.0634316
worth	0.0633355
give	0.0632626
put	0.0624752
kind	0.0621459
start	0.0617433
support	0.0604975
china	0.0601656
suffer	0.059644
moron	0.059644
asham	0.059644
third	0.059644
parti	0.059644
memori	0.0596436
stop	0.0580484
top	0.0560201
everi	0.0554645
due	0.055026
certain	0.0541821
inde	0.0541821
situat	0.0534853
probabl	0.0533189
bring	0.0520378
rescu	0.051809
insult	0.0515221
attack	0.0513965
lost	0.0483321
flew	0.0479913
huge	0.0479499
your	0.0478088
separ	0.0466499
option	0.0466499
shouldnt	0.0466499
individu	0.0466499
houston	0.0466264
angu	0.0466264
reconsid	0.0466103
regroup	0.0466102
credibl	0.0465324
matter	0.0461317
wonder	0.0458799
exist	0.0454818
oper	0.045446
rest	0.0450556
btw	0.0448711
media	0.0444125
wow	0.0437613
size	0.0434586
approach	0.0430685
air	0.0427625
go	0.0420259
u	0.0420028
author	0.0418043
famili	0.0416262
definit	0.0413345
deal	0.0413089
-----------------	8	-------------------
drone	1.87688
made	0.673753
littl	0.467466
decis	0.350387
crush	0.34283
movi	0.331221
anim	0.313927
goos	0.296177
wild	0.296177
china	0.293882
damag	0.286381
chase	0.276374
rust	0.272243
metal	0.264935
ef	0.261694
everyday	0.261694
water	0.254298
could	0.252429
risk	0.247696
next	0.246533
human	0.240243
ruin	0.237247
headlin	0.236286
american	0.232236
wrap	0.229937
foil	0.224744
point	0.212712
better	0.210423
oh	0.209357
deep	0.205638
tooth	0.20558
decay	0.20558
unman	0.203212
aluminum	0.202514
nsa	0.19968
auv	0.199
effect	0.197078
underwat	0.19123
enough	0.189574
anyon	0.187994
wait	0.186725
look	0.183537
similar	0.183288
nope	0.179351
must	0.178019
submarin	0.173677
ballard	0.167262
wouldv	0.167262
brave	0.167262
bob	0.167262
hack	0.163115
comput	0.163115
guess	0.160882
exactli	0.154465
u	0.153186
safeti	0.150433
flown	0.14395
attack	0.140959
number	0.134938
sea	0.132294
like	0.129541
make	0.129445
expens	0.129119
chines	0.120521
depth	0.120086
pack	0.118581
99	0.118581
turn	0.116439
expos	0.113097
find	0.10483
anyth	0.10458
incompet	0.101007
trillion	0.0954938
card	0.0954934
18	0.0954895
world	0.0952984
replac	0.0937902
worri	0.0936242
vike	0.091925
count	0.0887037
deviat	0.0886519
ago	0.0883648
plenti	0.0841188
week	0.0828883
go	0.0826404
credit	0.0821168
bust	0.079203
fluid	0.079203
still	0.0781181
accident	0.078092
left	0.0759528
peopl	0.0740444
