-----------------	0	-------------------
begu	0.00500196
fragment	0.00176432
stone	0.0016103
luggag	0.00134917
wing	0.00130636
johnni	0.00130502
beach	0.00118555
local	0.00103412
nobodi	0.00100992
zip	0.00100992
realli	0.00100353
weird	0.000950179
370	0.000917264
realiz	0.000915364
yesterday	0.00088974
piec	0.00088219
studi	0.000868743
bag	0.000840258
compon	0.000838995
materi	0.000829466
fuell	0.000813822
paid	0.000749381
southwestern	0.0007427
volcan	0.000737184
cleanup	0.000716732
reunion	0.00071264
metal	0.000681014
suitcas	0.000678754
pick	0.000662366
polic	0.000659207
attent	0.000647349
toulous	0.000623119
thursday	0.00060631
verifi	0.000603789
grind	0.000598678
spice	0.000598677
sand	0.000598677
associ	0.000593642
didnt	0.000590142
island	0.000555046
travel	0.000554295
member	0.000535615
microscop	0.000528887
whether	0.000526975
desol	0.00050603
worker	0.000490315
knew	0.000467158
big	0.00046704
couldnt	0.000465182
rock	0.000465182
kid	0.000465182
freedom	0.000465182
batter	0.000465182
soccer	0.000465182
surf	0.000465182
46	0.000465182
fame	0.000465182
corrobor	0.000465182
proud	0.000465182
flower	0.000465182
favorit	0.000465182
sent	0.00042918
collect	0.000423049
wouldnt	0.000415448
colleagu	0.000415448
memori	0.000414164
prais	0.000414164
plant	0.000413121
station	0.00040893
morn	0.000402614
give	0.000399348
edg	0.000395237
specul	0.000394394
long	0.000392487
supervisor	0.000388379
bottl	0.000384149
life	0.000381042
la	0.000367209
call	0.000357513
airplan	0.000355114
explain	0.000351845
tytelman	0.000349988
maintain	0.00034748
damag	0.00034747
mayb	0.000341744
sinc	0.00033959
tropic	0.000333263
walk	0.000333263
import	0.00033023
drive	0.000328815
analyz	0.0003215
site	0.000320764
respect	0.000317831
univers	0.000310329
friday	0.000309152
discov	0.000307095
razak	0.000306713
match	0.00030362
examin	0.000303369
account	0.00030313
-----------------	1	-------------------
la	0.0025156
aziz	0.00135811
16	0.00133138
suitcas	0.00118162
reunion	0.00104915
bottl	0.00104728
piec	0.000985546
main	0.000939354
civil	0.000915093
laboratori	0.000908609
sourc	0.000893935
rollercoast	0.000886584
